index,frame_count,nano_time,elapsed_ms
0,22,196213507503965,1769.445
1,69,196214514503274,2776.444
2,69,196215527461290,3789.402
3,85,196216528726008,4790.667
4,82,196217534706181,5796.647
5,91,196218546322361,6808.263
6,93,196219550412027,7812.353
7,107,196220557653893,8819.595
8,83,196221566425142,9828.366
9,78,196222571305826,10833.246
10,79,196223576725205,11838.666
11,84,196224585348789,12847.289
12,102,196225590543736,13852.484
13,87,196226611850156,14873.791
14,79,196227620364595,15882.305
15,80,196228622251570,16884.192
16,94,196229630879285,17892.820
17,94,196230632190800,18894.131
18,96,196231635369847,19897.311
19,84,196232641815322,20903.756
20,86,196233641958446,21903.899
21,74,196234658327667,22920.268
22,71,196235669964214,23931.905
23,97,196236678701877,24940.643
24,69,196237680152424,25942.093
25,65,196238687100664,26949.041
26,89,196239701487570,27963.428
27,76,196240702823470,28964.764
28,99,196241715864461,29977.805
29,72,196242721744511,30983.685
30,85,196243734093401,31996.034
31,90,196244741907627,33003.848
32,74,196245744399728,34006.340
33,74,196246746638876,35008.580
34,75,196247756497650,36018.438
35,62,196248770716373,37032.657
36,83,196249782949183,38044.890
37,79,196250797263683,39059.204
38,72,196251805257625,40067.198
39,80,196252820323323,41082.264
40,82,196253834185702,42096.126
41,93,196254840296488,43102.237
42,61,196255842633261,44104.574
43,93,196256851674049,45113.615
44,93,196257859150508,46121.091
45,102,196258866877944,47128.819
46,92,196259879097184,48141.038
47,94,196260889844952,49151.786
48,86,196261893642592,50155.583
49,94,196262907477983,51169.419
50,90,196263918734604,52180.675
51,87,196264921546358,53183.487
52,103,196265928363283,54190.304
53,101,196266932249360,55194.190
54,70,196267936330449,56198.271
55,86,196268937306234,57199.247
56,82,196269946921823,58208.862
57,84,196270963135192,59225.076
58,84,196271969370791,60231.311
59,88,196272974002732,61235.943
60,97,196273976767141,62238.708
61,89,196274980920585,63242.861
62,92,196275991633105,64253.574
63,93,196277003961185,65265.902
64,92,196278013551528,66275.492
65,93,196279026847821,67288.788
66,69,196280045299796,68307.240
67,89,196281057103843,69319.045
68,65,196282067908260,70329.849
69,91,196283070233110,71332.174
70,101,196284074528520,72336.469
71,103,196285085057394,73346.998
72,74,196286085969750,74347.910
73,74,196287087225088,75349.166
74,101,196288096959205,76358.900
75,55,196289116500045,77378.441
76,58,196290116945309,78378.886
77,99,196291124921705,79386.862
78,85,196292136275425,80398.216
79,96,196293141413633,81403.354
80,81,196294147951029,82409.892
81,97,196295153062136,83415.003
82,93,196296158303258,84420.244
83,73,196297161682116,85423.623
84,89,196298162352632,86424.293
85,82,196299166970764,87428.911
86,84,196300168799379,88430.740
87,98,196301174103799,89436.044
88,78,196302176609271,90438.550
89,95,196303190067138,91452.008
90,92,196304192081588,92454.022
91,59,196305211496815,93473.437
92,75,196306214344509,94476.285
93,84,196307215018790,95476.959
94,99,196308228662323,96490.603
95,74,196309228866816,97490.807
96,83,196310242609350,98504.550
97,88,196311253684650,99515.625
98,83,196312266983205,100528.924
99,50,196313267268727,101529.209
100,82,196314287058955,102549.000
101,89,196315288579816,103550.520
102,77,196316299229953,104561.171
103,71,196317308303447,105570.244
104,100,196318318467044,106580.408
105,79,196319322089869,107584.031
106,89,196320323528612,108585.469
107,83,196321327409181,109589.350
108,82,196322330559544,110592.500
109,96,196323341814205,111603.755
110,78,196324346864362,112608.805
111,61,196325358430037,113620.371
112,87,196326367899388,114629.840
113,81,196327371780670,115633.721
114,68,196328372506140,116634.447
115,66,196329377220236,117639.161
116,94,196330387279651,118649.220
117,101,196331398841824,119660.782
118,65,196332419806168,120681.747
