index,frame_count,nano_time,elapsed_ms
0,20,195726741689977,1811.388
1,40,195727744553854,2814.252
2,48,195728752205800,3821.904
3,45,195729778640047,4848.338
4,55,195730787835619,5857.534
5,53,195731800775689,6870.474
6,52,195732805926062,7875.624
7,48,195733809901150,8879.599
8,50,195734820630073,9890.328
9,45,195735829537328,10899.235
10,40,195736830056013,11899.754
11,60,195737834301172,12903.999
12,45,195738861213945,13930.912
13,42,195739889409406,14959.107
14,51,195740889546413,15959.244
15,49,195741890170688,16959.869
16,51,195742894413183,17964.111
17,46,195743915691735,18985.390
18,50,195744927486876,19997.185
19,61,195745937437598,21007.136
20,44,195746946719920,22016.418
21,56,195747953248003,23022.946
22,61,195748980275539,24049.974
23,47,195749990631701,25060.330
24,46,195750999438779,26069.137
25,46,195752001133575,27070.832
26,41,195753004476486,28074.174
27,53,195754007867229,29077.565
28,55,195755014210625,30083.909
29,42,195756044507586,31114.206
30,55,195757054627728,32124.326
31,45,195758078900547,33148.599
32,49,195759087114307,34156.812
33,52,195760100391994,35170.090
34,53,195761108870302,36178.568
35,49,195762111979229,37181.677
36,48,195763135223245,38204.921
37,51,195764150716756,39220.415
38,52,195765159724210,40229.422
39,45,195766168580353,41238.278
40,60,195767176091900,42245.790
41,49,195768187198175,43256.896
42,57,195769199899414,44269.597
43,56,195770210854022,45280.552
44,53,195771236921784,46306.620
45,45,195772250655444,47320.353
46,77,195773260638090,48330.336
47,42,195774277598769,49347.297
48,55,195775292891106,50362.589
49,45,195776318920508,51388.619
50,49,195777327119453,52396.817
51,58,195778345161031,53414.859
52,46,195779345183618,54414.882
53,48,195780367044240,55436.742
54,61,195781373964304,56443.662
55,53,195782387540766,57457.239
56,39,195783389548920,58459.247
57,47,195784392211227,59461.909
58,48,195785409833010,60479.531
59,51,195786431547488,61501.245
60,41,195787436884700,62506.583
61,58,195788452865940,63522.564
62,55,195789459575171,64529.273
63,73,195790473386662,65543.085
64,46,195791489345594,66559.044
65,50,195792495623530,67565.322
66,55,195793497508498,68567.207
67,72,195794519512523,69589.211
68,43,195795545947997,70615.646
69,39,195796563522939,71633.221
70,46,195797576506363,72646.204
71,45,195798595299743,73664.998
72,44,195799619432323,74689.130
73,50,195800622347725,75692.046
74,65,195801630556346,76700.254
75,53,195802651804586,77721.503
76,46,195803667430689,78737.129
77,52,195804679828542,79749.527
78,47,195805686041953,80755.740
79,45,195806697733247,81767.431
80,56,195807700375226,82770.073
81,47,195808714793685,83784.492
82,45,195809726084300,84795.782
83,57,195810743670976,85813.369
84,49,195811748048417,86817.746
85,55,195812765052146,87834.750
86,58,195813772976987,88842.675
87,48,195814788807926,89858.506
88,48,195815794589581,90864.288
89,54,195816797832100,91867.530
90,64,195817800981683,92870.680
91,65,195818815206866,93884.905
92,46,195819816946799,94886.645
93,48,195820834681830,95904.380
94,48,195821849776458,96919.474
95,44,195822873326405,97943.024
96,40,195823876790875,98946.489
97,46,195824876736009,99946.434
98,52,195825887402701,100957.101
99,54,195826890339815,101960.038
100,40,195827899925897,102969.624
101,44,195828914161054,103983.859
102,63,195829916348563,104986.047
103,48,195830922729279,105992.427
104,46,195831937964423,107007.662
105,49,195832950275811,108019.974
106,52,195833953347812,109023.046
107,77,195834962420259,110032.118
108,64,195835971375036,111041.073
109,60,195836998887218,112068.585
110,42,195838024660951,113094.359
111,41,195839025573845,114095.272
112,55,195840057074769,115126.773
113,51,195841068416395,116138.114
114,38,195842083097328,117152.795
115,52,195843096246220,118165.944
116,84,195844112487715,119182.186
117,56,195845133972639,120203.671
