index,frame_count,nano_time,elapsed_ms
0,14,236301045925042,2051.129
1,34,236302058608628,3063.812
2,37,236303095883185,4101.087
3,46,236304121519168,5126.723
4,41,236305144726529,6149.930
5,44,236306163027477,7168.231
6,44,236307188768513,8193.972
7,37,236308190050366,9195.254
8,37,236309231030750,10236.234
9,40,236310234033650,11239.237
10,36,236311234206818,12239.410
11,36,236312264196345,13269.400
12,29,236313271643272,14276.847
13,40,236314286314320,15291.518
14,42,236315300237101,16305.441
15,43,236316314408069,17319.612
16,40,236317315258316,18320.462
17,39,236318321177621,19326.381
18,45,236319322760291,20327.964
19,43,236320341291171,21346.495
20,43,236321371004428,22376.208
21,40,236322379121539,23384.325
22,40,236323385075557,24390.279
23,43,236324393348707,25398.552
24,46,236325399293776,26404.497
25,45,236326412193795,27417.397
26,38,236327444918841,28450.122
27,40,236328445347056,29450.551
28,46,236329463844660,30469.048
29,42,236330480259180,31485.463
30,42,236331504080432,32509.284
31,37,236332504120141,33509.324
32,43,236333514139313,34519.343
33,45,236334524243784,35529.447
34,46,236335538766585,36543.970
35,40,236336558597128,37563.801
36,38,236337582664991,38587.868
37,45,236338587986174,39593.190
38,42,236339593290881,40598.494
39,41,236340613444530,41618.648
40,40,236341623008524,42628.212
41,32,236342638422616,43643.626
42,37,236343659445317,44664.649
43,47,236344677528525,45682.732
44,41,236345681752934,46686.956
45,44,236346682127924,47687.331
46,38,236347684749554,48689.953
47,43,236348687766187,49692.970
48,44,236349692275791,50697.479
49,44,236350714283307,51719.487
50,44,236351715185826,52720.389
51,39,236352725389151,53730.593
52,47,236353731940158,54737.144
53,40,236354741905230,55747.109
54,45,236355760552783,56765.756
55,45,236356774845111,57780.049
56,38,236357800626843,58805.830
57,40,236358807676891,59812.880
58,39,236359825095399,60830.299
59,44,236360827998396,61833.202
60,44,236361831258398,62836.462
61,40,236362845498330,63850.702
62,48,236363848689477,64853.893
63,43,236364866325367,65871.529
64,44,236365869425142,66874.629
65,41,236366890580947,67895.784
66,38,236367898507830,68903.711
67,44,236368910021199,69915.225
68,42,236369918086703,70923.290
69,47,236370927028745,71932.232
70,44,236371935699274,72940.903
71,41,236372948310127,73953.514
72,43,236373960920428,74966.124
73,42,236374977824115,75983.028
74,40,236375981375621,76986.579
75,47,236376992993707,77998.197
76,40,236377999191144,79004.395
77,43,236379000690431,80005.894
78,43,236380023330489,81028.534
79,49,236381038667437,82043.871
80,41,236382051786645,83056.990
81,36,236383072910461,84078.114
82,45,236384096919710,85102.123
83,38,236385100964422,86106.168
84,47,236386107937112,87113.141
85,43,236387110733103,88115.937
86,38,236388120349529,89125.553
87,42,236389139902728,90145.106
88,44,236390147580493,91152.784
89,45,236391158693784,92163.897
90,44,236392164142688,93169.346
91,41,236393174898037,94180.102
92,42,236394179811505,95185.015
93,46,236395187397280,96192.601
94,37,236396201816362,97207.020
95,40,236397209071307,98214.275
96,38,236398230630294,99235.834
97,46,236399250205741,100255.409
98,49,236400261280746,101266.484
99,41,236401263413150,102268.617
100,44,236402294042350,103299.246
101,37,236403306023072,104311.227
102,52,236404308058331,105313.262
103,40,236405333797193,106339.001
104,42,236406340551709,107345.755
105,44,236407355164071,108360.368
106,43,236408380321188,109385.525
107,43,236409401697200,110406.901
108,44,236410418789692,111423.993
109,44,236411435468149,112440.672
110,39,236412468766018,113473.969
111,43,236413474108871,114479.312
112,54,236414498465650,115503.669
113,46,236415508107043,116513.311
114,44,236416535947137,117541.151
115,38,236417566322203,118571.526
116,40,236418570449012,119575.652
117,50,236419592602739,120597.806
