index,frame_count,nano_time,elapsed_ms
0,22,240496305412000,1668.473
1,30,240497313428000,2676.489
2,31,240498336258000,3699.319
3,30,240499345662300,4708.723
4,30,240500353480700,5716.541
5,31,240501377131900,6740.192
6,29,240502385642900,7748.703
7,31,240503409672500,8772.733
8,30,240504415851500,9778.912
9,30,240505425812200,10788.873
10,28,240506433963500,11797.024
11,30,240507455790600,12818.851
12,31,240508480010800,13843.071
13,30,240509489545100,14852.606
14,31,240510530083400,15893.144
15,31,240511553189000,16916.250
16,28,240512560133400,17923.194
17,31,240513585124300,18948.185
18,30,240514592730600,19955.791
19,30,240515600828200,20963.889
20,31,240516625016100,21988.077
21,30,240517632903200,22995.964
22,31,240518656428600,24019.489
23,29,240519664642500,25027.703
24,30,240520673169900,26036.230
25,31,240521696440500,27059.501
26,30,240522705809900,28068.870
27,31,240523729184300,29092.245
