index,frame_count,nano_time,elapsed_ms
0,21,193901338641605,1758.170
1,53,193902351402296,2770.931
2,86,193903357782698,3777.311
3,68,193904361552381,4781.081
4,74,193905371346715,5790.875
5,70,193906378798317,6798.327
6,98,193907391703264,7811.232
7,70,193908394366111,8813.895
8,90,193909402071472,9821.600
9,95,193910404770210,10824.299
10,96,193911413244722,11832.773
11,86,193912416509204,12836.038
12,110,193913428317582,13847.846
13,108,193914428731661,14848.260
14,108,193915432454869,15851.983
15,108,193916436893145,16856.422
16,110,193917444380157,17863.909
17,108,193918446422860,18865.951
18,105,193919446482679,19866.011
19,109,193920450397470,20869.926
20,111,193921462497664,21882.026
21,110,193922462192052,22881.720
22,109,193923464484978,23884.013
23,108,193924473906336,24893.435
24,110,193925479785426,25899.314
25,108,193926489198459,26908.727
26,109,193927495713736,27915.242
27,109,193928502527489,28922.056
28,107,193929511267209,29930.796
29,106,193930516965522,30936.494
30,108,193931517068514,31936.597
31,108,193932517985882,32937.514
32,107,193933520562005,33940.090
33,109,193934529149975,34948.678
34,109,193935537425731,35956.954
35,106,193936541848470,36961.377
36,105,193937543799017,37963.327
37,107,193938544723139,38964.252
38,110,193939545831167,39965.360
39,108,193940550009134,40969.538
40,105,193941550261894,41969.790
41,110,193942559517636,42979.046
42,111,193943570066290,43989.595
43,110,193944570887633,44990.416
44,110,193945576066120,45995.595
45,106,193946576636678,46996.165
46,110,193947577736759,47997.265
47,109,193948579055073,48998.584
48,110,193949583453919,50002.982
49,110,193950591512340,51011.041
50,108,193951601091763,52020.620
51,109,193952606317185,53025.846
52,106,193953613619008,54033.147
53,109,193954624739457,55044.268
54,106,193955634378572,56053.907
55,110,193956642667098,57062.196
56,109,193957649204377,58068.733
57,110,193958660888473,59080.417
58,109,193959665859730,60085.388
59,110,193960665954081,61085.483
60,110,193961671721615,62091.250
61,107,193962680159291,63099.688
62,110,193963686509138,64106.038
63,105,193964686964128,65106.493
64,108,193965687515264,66107.044
65,108,193966690090618,67109.619
66,106,193967691041195,68110.570
67,109,193968696723341,69116.252
68,108,193969697688284,70117.217
69,111,193970698792554,71118.321
70,110,193971703525428,72123.054
71,106,193972706498398,73126.027
72,112,193973722926893,74142.455
73,108,193974732481533,75152.010
74,109,193975743597280,76163.126
75,107,193976752359657,77171.888
76,108,193977758422563,78177.951
77,106,193978763064337,79182.593
78,106,193979771431474,80190.960
79,110,193980778701595,81198.230
80,106,193981779215470,82198.744
81,110,193982783714578,83203.243
82,109,193983786838062,84206.366
83,108,193984787254844,85206.783
84,110,193985793621020,86213.149
85,108,193986799832723,87219.361
86,108,193987804880882,88224.409
87,111,193988812047598,89231.576
88,107,193989812393405,90231.922
89,110,193990814365492,91233.894
90,111,193991821715393,92241.244
91,108,193992828173221,93247.702
92,110,193993836637642,94256.166
93,108,193994841498988,95261.027
94,109,193995844390510,96263.919
95,109,193996847694665,97267.223
96,104,193997850729755,98270.258
97,111,193998856995490,99276.524
98,109,193999864440691,100283.969
99,108,194000869429226,101288.958
100,111,194001877226075,102296.755
101,108,194002889582159,103309.111
102,109,194003896681738,104316.210
103,110,194004897224752,105316.753
104,108,194005909458754,106328.987
105,109,194006916131021,107335.659
106,109,194007922289257,108341.818
107,109,194008924442091,109343.971
108,110,194009935793626,110355.322
109,110,194010940718768,111360.247
110,108,194011944710625,112364.239
111,110,194012945700389,113365.229
112,109,194013947608186,114367.137
113,108,194014964296973,115383.825
114,110,194015971687583,116391.216
115,109,194016983135845,117402.664
116,110,194017986181681,118405.710
117,108,194018991116079,119410.645
118,111,194020003260805,120422.789
