index,frame_count,nano_time,elapsed_ms
0,16,198406816418932,1903.967
1,50,198407815769493,2903.317
2,99,198408823815902,3911.364
3,88,198409832122763,4919.671
4,79,198410838523439,5926.071
5,83,198411851051939,6938.600
6,77,198412864195011,7951.743
7,70,198413870178817,8957.727
8,83,198414885651153,9973.199
9,93,198415889267201,10976.815
10,80,198416892054676,11979.602
11,82,198417902428368,12989.976
12,86,198418904257706,13991.805
13,94,198419914313387,15001.861
14,67,198420922276459,16009.824
15,74,198421928768772,17016.317
16,79,198422929388334,18016.936
17,81,198423934947213,19022.495
18,80,198424938043062,20025.591
19,63,198425958511450,21046.059
20,65,198426962522708,22050.070
21,74,198427976610563,23064.158
22,82,198428987473262,24075.021
23,68,198429989543144,25077.091
24,73,198430997858554,26085.406
25,95,198432012959771,27100.508
26,92,198433029204701,28116.752
27,80,198434046700170,29134.248
28,66,198435054703613,30142.251
29,96,198436062872250,31150.420
30,102,198437070008089,32157.556
31,97,198438075198468,33162.746
32,96,198439084601586,34172.149
33,87,198440089242888,35176.791
34,49,198441091595149,36179.143
35,92,198442098630920,37186.179
36,68,198443110849019,38198.397
37,56,198444125988756,39213.537
38,69,198445126285356,40213.833
39,97,198446135376302,41222.924
40,81,198447148310486,42235.858
41,92,198448151830111,43239.378
42,99,198449157870942,44245.419
43,84,198450162952101,45250.500
44,78,198451164096797,46251.645
45,95,198452165831847,47253.380
46,90,198453170395454,48257.943
47,75,198454173441498,49260.989
48,67,198455192576429,50280.124
49,76,198456196431412,51283.979
50,80,198457198405551,52285.953
51,78,198458202084635,53289.632
52,76,198459210830507,54298.378
53,64,198460216074268,55303.622
54,82,198461221982915,56309.531
55,55,198462223248822,57310.797
56,65,198463235098279,58322.646
57,83,198464242421709,59329.969
58,86,198465254292041,60341.840
59,95,198466265407547,61352.955
60,88,198467273230258,62360.778
61,75,198468279119302,63366.667
62,85,198469282413430,64369.961
63,75,198470283144714,65370.692
64,88,198471297002805,66384.551
65,102,198472300944860,67388.493
66,71,198473309438614,68396.986
67,87,198474314939760,69402.488
68,82,198475325603816,70413.152
69,80,198476337005925,71424.554
70,86,198477348077411,72435.625
71,57,198478356825666,73444.373
72,89,198479363341489,74450.889
73,62,198480364972236,75452.520
74,87,198481364940892,76452.489
75,80,198482377508596,77465.056
76,66,198483387909559,78475.457
77,75,198484392726663,79480.274
78,87,198485398433226,80485.981
79,80,198486410908419,81498.456
80,54,198487414217921,82501.766
81,73,198488426889206,83514.437
82,76,198489449634911,84537.183
83,89,198490462985555,85550.533
84,81,198491470379169,86557.927
85,97,198492481910996,87569.459
86,109,198493487336642,88574.884
87,89,198494498017510,89585.565
88,91,198495502705056,90590.253
89,96,198496509492469,91597.040
90,77,198497520415678,92607.963
91,102,198498521940967,93609.489
92,87,198499525980102,94613.528
93,89,198500534283346,95621.831
94,92,198501540508040,96628.056
95,82,198502541783315,97629.331
96,93,198503544979751,98632.528
97,85,198504545047684,99632.595
98,80,198505562967141,100650.515
99,69,198506568708645,101656.256
100,75,198507589145153,102676.693
101,72,198508599384039,103686.932
102,65,198509614386217,104701.934
103,67,198510634919881,105722.468
104,70,198511636732066,106724.280
105,85,198512642688896,107730.237
106,86,198513649393454,108736.941
107,66,198514652800264,109740.348
108,72,198515659274406,110746.822
109,77,198516676220454,111763.768
110,66,198517687227991,112774.776
111,87,198518690144028,113777.692
112,82,198519697007323,114784.555
113,50,198520699062995,115786.611
114,70,198521718575441,116806.123
115,88,198522724271354,117811.819
116,79,198523729158202,118816.706
117,96,198524732529621,119820.077
118,99,198525743145932,120830.694
