index,frame_count,nano_time,elapsed_ms
0,13,236179271023430,2156.086
1,37,236180289084588,3174.147
2,40,236181308254149,4193.317
3,32,236182339805990,5224.868
4,28,236183339386480,6224.449
5,39,236184348101354,7233.164
6,33,236185366310665,8251.373
7,23,236186384621225,9269.684
8,31,236187402857439,10287.920
9,42,236188420690027,11305.752
10,37,236189447604380,12332.667
11,38,236190454570729,13339.633
12,44,236191480526461,14365.589
13,43,236192530772503,15415.835
14,45,236193549392315,16434.455
15,42,236194555806221,17440.869
16,48,236195578575580,18463.638
17,43,236196591091165,19476.154
18,39,236197599313887,20484.376
19,45,236198605133645,21490.196
20,45,236199608498241,22493.561
21,43,236200619763515,23504.826
22,48,236201629919543,24514.982
23,37,236202651819299,25536.882
24,43,236203668809120,26553.871
25,43,236204695106250,27580.169
26,48,236205708388957,28593.451
27,47,236206722525565,29607.588
28,37,236207725053955,30610.116
29,44,236208737732615,31622.795
30,45,236209759883673,32644.946
31,40,236210774267570,33659.330
32,41,236211781116448,34666.179
33,40,236212782590885,35667.653
34,44,236213788941947,36674.004
35,41,236214810094826,37695.157
36,44,236215811012868,38696.075
37,46,236216829331849,39714.394
38,36,236217837673596,40722.736
39,42,236218855100587,41740.163
40,44,236219880363154,42765.426
41,50,236220902605662,43787.668
42,41,236221909213630,44794.276
43,37,236222919235974,45804.298
44,43,236223932055310,46817.118
45,41,236224949812238,47834.875
46,42,236225961753988,48846.816
47,46,236226987359793,49872.422
48,40,236228006555464,50891.618
49,42,236229012611010,51897.673
50,45,236230027667475,52912.730
51,43,236231053474821,53938.537
52,46,236232070597830,54955.660
53,40,236233084436892,55969.499
54,39,236234110023780,56995.086
55,50,236235136175678,58021.238
56,44,236236148673886,59033.736
57,44,236237164110146,60049.173
58,40,236238173520554,61058.583
59,45,236239186633949,62071.696
60,38,236240188074625,63073.137
61,46,236241200601648,64085.664
62,35,236242208704601,65093.767
63,38,236243232258689,66117.321
64,49,236244232869157,67117.932
65,41,236245252874319,68137.937
66,44,236246265640145,69150.703
67,38,236247292462386,70177.525
68,37,236248303520561,71188.583
69,45,236249318894985,72203.957
70,42,236250325989621,73211.052
71,42,236251349565295,74234.628
72,40,236252349751199,75234.814
73,40,236253366726282,76251.789
74,41,236254367235300,77252.298
75,39,236255387053772,78272.116
76,43,236256405254006,79290.316
77,40,236257409326218,80294.389
78,43,236258423806123,81308.868
79,39,236259448347270,82333.410
80,42,236260458773723,83343.836
81,45,236261471886486,84356.949
82,38,236262494113476,85379.176
83,42,236263494511387,86379.574
84,40,236264495005602,87380.068
85,46,236265506844208,88391.907
86,40,236266510663214,89395.726
87,38,236267549988021,90435.050
88,43,236268553957939,91439.020
89,46,236269572979296,92458.042
90,41,236270588310462,93473.373
91,31,236271590010454,94475.073
92,29,236272615859335,95500.922
93,40,236273628097593,96513.160
94,42,236274638481057,97523.543
95,41,236275646698649,98531.761
96,36,236276659634122,99544.696
97,35,236277664268803,100549.331
98,40,236278671446079,101556.508
99,43,236279680187023,102565.249
100,40,236280688708843,103573.771
101,42,236281694651589,104579.714
102,40,236282698676662,105583.739
103,41,236283715165944,106600.228
104,44,236284727876493,107612.939
105,41,236285743352985,108628.415
106,38,236286756993366,109642.056
107,39,236287764734087,110649.796
108,46,236288771187516,111656.250
109,40,236289798857879,112683.920
110,43,236290801636672,113686.699
111,47,236291813916897,114698.979
112,36,236292826166534,115711.229
113,40,236293834309596,116719.372
114,43,236294862330477,117747.393
115,41,236295883053913,118768.116
116,44,236296902727639,119787.790
117,42,236297908402336,120793.465
