index,frame_count,nano_time,elapsed_ms
0,17,98343683315668,1821.601
1,49,98344698528254,2836.813
2,41,98345715582867,3853.868
3,51,98346725301322,4863.586
4,75,98347725848621,5864.134
5,52,98348727124950,6865.410
6,58,98349751164384,7889.449
7,52,98350754811190,8893.096
8,59,98351755845735,9894.131
9,48,98352769186886,10907.472
10,50,98353780725145,11919.010
11,54,98354789004439,12927.289
12,47,98355812577931,13950.863
13,71,98356824224159,14962.509
14,49,98357843999560,15982.285
15,46,98358855211582,16993.497
16,66,98359859124228,17997.409
17,60,98360874957246,19013.242
18,47,98361882426343,20020.711
19,49,98362905573561,21043.859
20,38,98363923950713,22062.236
21,52,98364937386414,23075.671
22,47,98365937518317,24075.803
23,48,98366947680504,25085.965
24,37,98367959822101,26098.107
25,50,98368974474856,27112.760
26,51,98369984253972,28122.539
27,49,98371009082243,29147.367
28,70,98372018342569,30156.628
29,47,98373022527664,31160.813
30,53,98374024302259,32162.587
