index,frame_count,nano_time,elapsed_ms
0,16,196579322217381,2055.435
1,55,196580330834343,3064.052
2,93,196581334570270,4067.788
3,78,196582353739776,5086.957
4,50,196583361881194,6095.099
5,50,196584370446177,7103.664
6,83,196585381518444,8114.736
7,73,196586386872494,9120.090
8,78,196587388086594,10121.304
9,75,196588394450078,11127.668
10,67,196589407608957,12140.826
11,99,196590415279930,13148.497
12,59,196591417610118,14150.828
13,89,196592428254055,15161.472
14,62,196593435779568,16168.997
15,50,196594439960765,17173.178
16,94,196595447686283,18180.904
17,102,196596449381991,19182.599
18,70,196597459788250,20193.006
19,69,196598462847017,21196.065
20,90,196599464660047,22197.878
21,63,196600475480178,23208.698
22,81,196601475642190,24208.860
23,93,196602483056124,25216.274
24,60,196603488821458,26222.039
25,77,196604489084231,27222.302
26,59,196605495310202,28228.528
27,84,196606504352751,29237.570
28,76,196607511903437,30245.121
29,85,196608517194079,31250.412
30,84,196609529038405,32262.256
31,92,196610535973495,33269.191
32,81,196611539218286,34272.436
33,92,196612543830051,35277.048
34,81,196613557425964,36290.643
35,72,196614575051937,37308.269
36,83,196615583135039,38316.353
37,93,196616585957462,39319.175
38,73,196617591490884,40324.708
39,91,196618601186117,41334.404
40,74,196619613083538,42346.301
41,88,196620618909871,43352.127
42,95,196621626143447,44359.361
43,90,196622641425188,45374.643
44,67,196623644311665,46377.529
45,62,196624657918877,47391.136
46,59,196625673043485,48406.261
47,80,196626688185959,49421.403
48,77,196627689123855,50422.341
49,89,196628695518145,51428.736
50,68,196629699838733,52433.056
51,64,196630700837718,53434.055
52,77,196631719174861,54452.392
53,82,196632727663792,55460.881
54,56,196633741290050,56474.508
55,92,196634742979441,57476.197
56,94,196635749708079,58482.926
57,88,196636754828816,59488.046
58,56,196637757097403,60490.315
59,65,196638757775748,61490.993
60,85,196639761033264,62494.251
61,81,196640768032509,63501.250
62,84,196641785530400,64518.748
63,47,196642798407749,65531.625
64,94,196643810330151,66543.548
65,81,196644814835434,67548.053
66,74,196645818515257,68551.733
67,85,196646826555136,69559.773
68,98,196647827740551,70560.958
69,88,196648832103549,71565.321
70,71,196649836480563,72569.698
71,88,196650847593024,73580.811
72,67,196651853480843,74586.698
73,79,196652854548587,75587.766
74,75,196653859878663,76593.096
75,100,196654862592777,77595.810
76,81,196655871374645,78604.592
77,67,196656882034402,79615.252
78,66,196657882223917,80615.441
79,53,196658889283046,81622.501
80,63,196659901330387,82634.548
81,78,196660904764027,83637.982
82,79,196661910137129,84643.355
83,90,196662917408508,85650.626
84,97,196663917727742,86650.945
85,77,196664938406624,87671.624
86,71,196665950540193,88683.758
87,84,196666955016369,89688.234
88,94,196667962371875,90695.589
89,54,196668975915511,91709.133
90,64,196669990854101,92724.072
91,63,196671003512580,93736.730
92,62,196672004578046,94737.796
93,75,196673006046615,95739.264
94,86,196674013941262,96747.159
95,87,196675019707176,97752.925
96,86,196676021775895,98754.993
97,90,196677021950253,99755.168
98,95,196678038915053,100772.133
99,66,196679044765044,101777.983
100,66,196680057547263,102790.765
101,79,196681076029080,103809.247
102,84,196682086837584,104820.055
103,90,196683093719837,105826.937
104,74,196684101324918,106834.542
105,89,196685110890554,107844.108
106,59,196686115545686,108848.763
107,94,196687119540625,109852.758
108,80,196688125108968,110858.326
109,66,196689128963755,111862.181
110,74,196690135380251,112868.598
111,75,196691135439544,113868.657
112,51,196692135566758,114868.784
113,90,196693140135768,115873.353
114,65,196694143406519,116876.624
115,68,196695151995857,117885.213
116,90,196696162744917,118895.962
117,58,196697164272593,119897.490
118,70,196698169643070,120902.861
