index,frame_count,nano_time,elapsed_ms
0,22,197919547151393,1962.581
1,50,197920551103426,2966.533
2,74,197921551433917,3966.864
3,71,197922555033741,4970.463
4,63,197923555879655,5971.309
5,89,197924566684440,6982.114
6,67,197925574973696,7990.403
7,83,197926590080393,9005.510
8,69,197927595424283,10010.854
9,68,197928597963098,11013.393
10,92,197929599912413,12015.342
11,78,197930611215992,13026.646
12,95,197931617732079,14033.162
13,84,197932621205297,15036.635
14,98,197933623005593,16038.435
15,86,197934632998919,17048.429
16,98,197935648254930,18063.685
17,84,197936659599397,19075.029
18,78,197937661722626,20077.152
19,77,197938684134713,21099.564
20,84,197939689990250,22105.420
21,77,197940700797185,23116.227
22,93,197941708155539,24123.585
23,79,197942721072982,25136.503
24,90,197943729983130,26145.413
25,87,197944741476677,27156.906
26,72,197945757874602,28173.304
27,56,197946766555012,29181.985
28,46,197947772503567,30187.933
29,78,197948785936516,31201.366
30,83,197949798471955,32213.902
31,85,197950811661636,33227.091
32,86,197951830157436,34245.587
33,54,197952837885496,35253.315
34,84,197953849975796,36265.405
35,80,197954857205112,37272.635
36,94,197955862607010,38278.037
37,94,197956872684704,39288.114
38,101,197957883035726,40298.465
39,90,197958891313087,41306.743
40,94,197959899252483,42314.682
41,71,197960904310424,43319.740
42,72,197961909018947,44324.449
43,67,197962911467637,45326.897
44,92,197963920899522,46336.329
45,81,197964936482830,47351.912
46,77,197965944707518,48360.137
47,79,197966945833400,49361.263
48,83,197967961838442,50377.268
49,68,197968970452910,51385.883
50,59,197969983891286,52399.321
51,80,197970992253756,53407.683
52,87,197971999839478,54415.269
53,80,197973000588646,55416.018
54,84,197974017549605,56432.979
55,61,197975023751581,57439.181
56,81,197976023756098,58439.186
57,60,197977027059587,59442.489
58,98,197978028394214,60443.824
59,85,197979035794045,61451.224
60,77,197980044046263,62459.476
61,89,197981050111010,63465.541
62,90,197982054047988,64469.478
63,72,197983066508769,65481.938
64,85,197984069159333,66484.589
65,83,197985079651618,67495.081
66,97,197986084147473,68499.577
67,99,197987087982932,69503.413
68,94,197988098884956,70514.315
69,98,197989110692408,71526.122
70,84,197990111112266,72526.542
71,90,197991121060341,73536.490
72,98,197992126097010,74541.527
73,89,197993130399172,75545.829
74,90,197994141738528,76557.168
75,89,197995143016590,77558.446
76,95,197996147082005,78562.512
77,95,197997150509506,79565.939
78,94,197998160342344,80575.772
79,86,197999166045957,81581.476
80,82,198000186505060,82601.935
81,83,198001188706420,83604.136
82,87,198002204052950,84619.483
83,67,198003204936071,85620.366
84,55,198004226367967,86641.798
85,79,198005235597953,87651.028
86,85,198006248803740,88664.233
87,99,198007249006145,89664.436
88,100,198008251061934,90666.492
89,91,198009255268724,91670.698
90,102,198010261333791,92676.763
91,86,198011263374255,93678.804
92,90,198012265309049,94680.739
93,54,198013266589845,95682.020
94,100,198014280057448,96695.487
95,102,198015281290545,97696.720
96,100,198016295996113,98711.426
97,97,198017307351657,99722.781
98,90,198018316899476,100732.329
99,88,198019330204951,101745.635
100,62,198020331995743,102747.425
101,86,198021334060063,103749.490
102,75,198022350262466,104765.692
103,73,198023352664905,105768.095
104,90,198024359619508,106775.049
105,79,198025371171458,107786.601
106,65,198026370561512,108785.991
107,85,198027371211889,109786.642
108,89,198028379305432,110794.735
109,85,198029387965499,111803.395
110,89,198030393627786,112809.057
111,86,198031407865911,113823.296
112,92,198032412309527,114827.739
113,83,198033417025990,115832.456
114,85,198034418113914,116833.544
115,98,198035430188556,117845.618
116,73,198036434408626,118849.838
117,69,198037440941768,119856.371
118,89,198038454063545,120869.493
