index,frame_count,nano_time,elapsed_ms
0,11,236423153515593,2010.400
1,35,236424177114149,3033.999
2,40,236425183693108,4040.578
3,42,236426211818894,5068.703
4,39,236427251240701,6108.125
5,35,236428260264400,7117.149
6,46,236429272738260,8129.623
7,40,236430273919936,9130.804
8,38,236431277363426,10134.248
9,41,236432279578622,11136.463
10,39,236433282247578,12139.132
11,41,236434302383969,13159.268
12,32,236435324144927,14181.029
13,43,236436362475780,15219.360
14,43,236437390887777,16247.772
15,37,236438401807142,17258.692
16,46,236439412462099,18269.347
17,50,236440415373598,19272.258
18,42,236441419423594,20276.308
19,40,236442425964746,21282.849
20,39,236443438949111,22295.834
21,42,236444447121023,23304.005
22,43,236445454723285,24311.608
23,40,236446461303151,25318.188
24,39,236447481721659,26338.606
25,40,236448508235717,27365.120
26,44,236449522931887,28379.816
27,40,236450530220105,29387.105
28,47,236451556035485,30412.920
29,39,236452562454270,31419.339
30,42,236453572899591,32429.784
31,43,236454581692644,33438.577
32,44,236455583064263,34439.949
33,46,236456584949978,35441.834
34,39,236457590972685,36447.857
35,42,236458612425661,37469.310
36,46,236459619309736,38476.194
37,47,236460624064735,39480.949
38,42,236461634785703,40491.670
39,38,236462638938439,41495.823
40,47,236463659812110,42516.697
41,42,236464662693784,43519.578
42,42,236465664405266,44521.290
43,41,236466688138369,45545.023
44,36,236467695802887,46552.687
45,45,236468703340391,47560.225
46,43,236469716556228,48573.441
47,42,236470718333429,49575.218
48,41,236471733242586,50590.127
49,36,236472741522445,51598.407
50,43,236473749869222,52606.754
51,48,236474755563402,53612.448
52,44,236475771019785,54627.904
53,43,236476778672077,55635.556
54,41,236477792383156,56649.268
55,44,236478814253584,57671.138
56,45,236479825510661,58682.395
57,47,236480838373406,59695.258
58,37,236481854056295,60710.941
59,38,236482874078394,61730.963
60,42,236483887406534,62744.291
61,43,236484894724418,63751.609
62,51,236485908434843,64765.319
63,48,236486931272946,65788.157
64,38,236487942423673,66799.308
65,45,236488952967108,67809.852
66,44,236489958788491,68815.673
67,47,236490967644116,69824.529
68,45,236491981976729,70838.861
69,41,236492992112048,71848.996
70,44,236493992858201,72849.743
71,39,236495014583105,73871.468
72,42,236496040837996,74897.722
73,43,236497053641302,75910.526
74,34,236498065867288,76922.752
75,41,236499081063607,77937.948
76,47,236500112145293,78969.030
77,46,236501119838147,79976.723
78,44,236502128829870,80985.714
79,37,236503135064572,81991.949
80,42,236504141792554,82998.677
81,41,236505154846214,84011.731
82,43,236506175860619,85032.745
83,40,236507186717352,86043.602
84,40,236508202899002,87059.783
85,45,236509217486029,88074.370
86,42,236510218863855,89075.748
87,42,236511228848138,90085.733
88,46,236512231254180,91088.139
89,36,236513236153458,92093.038
90,44,236514244041914,93100.926
91,41,236515270956227,94127.841
92,42,236516273874052,95130.758
93,44,236517294296366,96151.181
94,38,236518307452371,97164.337
95,54,236519312713208,98169.598
96,42,236520328510998,99185.395
97,43,236521340932401,100197.817
98,43,236522352680826,101209.565
99,40,236523367087206,102223.972
100,39,236524377868600,103234.753
101,45,236525392608668,104249.493
102,47,236526418219249,105275.104
103,44,236527430995223,106287.880
104,41,236528435404112,107292.289
105,45,236529436616411,108293.501
106,45,236530461519081,109318.403
107,44,236531467754387,110324.639
108,45,236532486043595,111342.928
109,35,236533516931867,112373.816
110,51,236534523767630,113380.652
111,42,236535541307169,114398.192
112,41,236536570297532,115427.182
113,38,236537572713261,116429.598
114,36,236538577990098,117434.875
115,37,236539595184366,118452.069
116,38,236540598459131,119455.344
117,45,236541603282291,120460.167
