index,frame_count,nano_time,elapsed_ms
0,20,184499794539000,1720.404
1,28,184500801600900,2727.466
2,31,184501826027100,3751.892
3,30,184502834367200,4760.232
4,31,184503857732500,5783.598
5,30,184504866323500,6792.189
6,30,184505891743500,7817.609
7,30,184506898125800,8823.991
8,30,184507906939400,9832.804
9,30,184508930161700,10856.027
10,25,184509937368300,11863.233
11,31,184510978089200,12903.954
12,28,184512001901400,13927.766
13,27,184513010510800,14936.376
14,31,184514036142100,15962.007
15,28,184515041761200,16967.626
16,31,184516082403400,18008.268
17,29,184517106321200,19032.186
18,30,184518114654000,20040.519
19,34,184519138310600,21064.176
20,31,184520147535000,22073.400
21,41,184521171301000,23097.166
22,32,184522178091500,24103.957
23,31,184523185760500,25111.626
24,39,184524194298800,26120.164
25,30,184525234131100,27159.996
26,42,184526257860200,28183.725
27,41,184527282204300,29208.069
